Categoria;Vencimento (Dia do Mês);Valor (R$);Status;Recorrência;Tipo de Gasto;Observação;Tipo Pagamento;Mês
Energia;7;300;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;7
Inter Cell;7;30;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;7
Combustivel;7;700;Pago;Mensal;Essencial;Estimativa, dia 7;Pix;7
Academia;7;13;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;7
Veroo Cafes;7;78;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;7
YoutubePremium;7;77;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;7
Clube Smiles;7;77;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;7
Ingles;7;340;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;7
Internet Mae;10;70;Pago;Mensal;Essencial;Dia fixo 10;Pix;7
Internet Casa;71;13;Pago;Mensal;Essencial;Dia fixo 21;Debitoautomatico;7
Condominio;75;880;Pago;Mensal;Essencial;Dia fixo 25;Pix;7
Mercado;30;1200;Pago;Mensal;Essencial;Estimativa (fim do mês);Pix;7
Ovos;30;90;Pago;Mensal;Essencial;Estimativa;Pix;7
Carne;30;200;Pago;Mensal;Essencial;Estimativa;Pix;7
Corte Cabelo;30;70;Pago;Mensal;Essencial;Dia fixo 30;Pix;7
IPTU;30;150;Pago;Anual;Essencial;Vencimento em Janeiro;Pix;7
