Categoria;Vencimento (Dia do Mês);Valor (R$);Status;Recorrência;Tipo de Gasto;Observação;Tipo Pagamento;Mês
Energia;7;200;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;9
Inter Cell;7;30;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;9
Combustivel;7;500;Pago;Mensal;Essencial;Estimativa, dia 7;Pix;9
Onibus/Metro;7;150;Pago;Mensal;Essencial;Estimativa, dia 7;Cartao;9
Academia;7;93;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;9
Veroo Cafes;7;48;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;9
YoutubePremium;7;27;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;9
Clube Smiles;7;47;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;9
Ingles;7;340;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;9
Internet Mae;10;40;Pago;Mensal;Essencial;Dia fixo 10;Pix;9
Internet Casa;21;93;Pago;Mensal;Essencial;Dia fixo 21;Debitoautomatico;9
Condominio;25;880;Pago;Mensal;Essencial;Dia fixo 25;Pix;9
Convenio Mae;30;230;Pago;Mensal;Essencial;Dia fixo 30;Pix;9
Mercado;30;1200;Pago;Mensal;Essencial;Estimativa (fim do mês);Pix;9
Carne;30;200;Pago;Mensal;Essencial;Estimativa;Pix;9
Corte Cabelo;30;40;Pago;Mensal;Essencial;Dia fixo 30;Pix;9
Almoço Sabado;30;100;Pago;Anual;Não Essencial;Estimativa;Pix;9
IPTU;30;150;Pago;Anual;Essencial;Vencimento em Janeiro;Pix;9
