Categoria;Vencimento (Dia do Mês);Valor (R$);Status;Recorrência;Tipo de Gasto;Observação;Tipo Pagamento;Mês
Energia;7;400;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;4
Inter Cell;7;30;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;4
Combustivel;7;500;Pago;Mensal;Essencial;Estimativa, dia 7;Pix;4
Academia;7;13;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;4
Veroo Cafes;7;48;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;4
YoutubePremium;7;47;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;4
Clube Smiles;7;47;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;4
Ingles;7;340;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;4
Internet Mae;10;40;Pago;Mensal;Essencial;Dia fixo 10;Pix;4
Internet Casa;41;13;Pago;Mensal;Essencial;Dia fixo 21;Debitoautomatico;4
Condominio;45;880;Pago;Mensal;Essencial;Dia fixo 25;Pix;4
Mercado;30;1200;Pago;Mensal;Essencial;Estimativa (fim do mês);Pix;4
Ovos;30;90;Pago;Mensal;Essencial;Estimativa;Pix;4
Carne;30;400;Pago;Mensal;Essencial;Estimativa;Pix;4
Corte Cabelo;30;40;Pago;Mensal;Essencial;Dia fixo 30;Pix;4
IPTU;30;150;Pago;Anual;Essencial;Vencimento em Janeiro;Pix;4
