Categoria;Vencimento (Dia do Mês);Valor (R$);Status;Recorrência;Tipo de Gasto;Observação;Tipo Pagamento;Mês
Energia;7;600;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;6
Inter Cell;7;30;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;6
Combustivel;7;600;Pago;Mensal;Essencial;Estimativa, dia 7;Pix;6
Academia;7;13;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;6
Veroo Cafes;7;68;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;6
YoutubePremium;7;67;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;6
Clube Smiles;7;67;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;6
Ingles;7;340;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;6
Internet Mae;10;60;Pago;Mensal;Essencial;Dia fixo 10;Pix;6
Internet Casa;61;13;Pago;Mensal;Essencial;Dia fixo 21;Debitoautomatico;6
Condominio;65;880;Pago;Mensal;Essencial;Dia fixo 25;Pix;6
Mercado;30;1200;Pago;Mensal;Essencial;Estimativa (fim do mês);Pix;6
Ovos;30;90;Pago;Mensal;Essencial;Estimativa;Pix;6
Carne;30;600;Pago;Mensal;Essencial;Estimativa;Pix;6
Corte Cabelo;30;60;Pago;Mensal;Essencial;Dia fixo 30;Pix;6
IPTU;30;150;Pago;Anual;Essencial;Vencimento em Janeiro;Pix;6
