Categoria;Vencimento (Dia do Mês);Valor (R$);Status;Recorrência;Tipo de Gasto;Observação;Tipo Pagamento;Mês
Energia;7;200;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;3
Inter Cell;7;30;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;3
Combustivel;7;500;Pago;Mensal;Essencial;Estimativa, dia 7;Pix;3
Academia;7;13;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
Veroo Cafes;7;48;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
YoutubePremium;7;27;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
Clube Smiles;7;47;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
Ingles;7;340;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
Internet Mae;10;40;Pago;Mensal;Essencial;Dia fixo 10;Pix;3
Internet Casa;21;13;Pago;Mensal;Essencial;Dia fixo 21;Debitoautomatico;3
Condominio;25;880;Pago;Mensal;Essencial;Dia fixo 25;Pix;3
Mercado;30;1200;Pago;Mensal;Essencial;Estimativa (fim do mês);Pix;3
Ovos;30;90;Pago;Mensal;Essencial;Estimativa;Pix;3
Carne;30;200;Pago;Mensal;Essencial;Estimativa;Pix;3
Corte Cabelo;30;40;Pago;Mensal;Essencial;Dia fixo 30;Pix;3
IPTU;30;150;Pago;Anual;Essencial;Vencimento em Janeiro;Pix;3
