Categoria;Vencimento (Dia do Mês);Valor (R$);Status;Recorrência;Tipo de Gasto;Observação;Tipo Pagamento;Mês
AlmoçoSabado;30;100;Pago;Mensal;Não Essencial;Estimativa;Pix;8
Energia;7;200;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;8
Inter Cell;7;30;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;8
Combustivel;7;500;Pago;Mensal;Essencial;Estimativa, dia 7;Pix;8
Academia;7;115;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;8
Veroo Cafes;7;48;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;8
YoutubePremium;7;27;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;8
Clube Smiles;7;47;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;8
Ingles;7;340;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;8
Internet Mae;10;40;Pago;Mensal;Essencial;Dia fixo 10;Pix;8
Internet Casa;21;113;Pago;Mensal;Essencial;Dia fixo 21;Debitoautomatico;8
Condominio;25;880;Pago;Mensal;Essencial;Dia fixo 25;Pix;8
Mercado;30;1200;Pago;Mensal;Essencial;Estimativa (fim do mês);Pix;8
Ovos;30;80;Pago;Mensal;Essencial;Estimativa;Pix;8
Carne;30;200;Pago;Mensal;Essencial;Estimativa;Pix;8
IPTU;30;150;Pago;Anual;Essencial;Vencimento em Janeiro;Pix;8



